City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
7,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Neiafu,TO,82.49,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
15,Hermanus,ZA,83.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Salinopolis,BR,75.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
20,Kavaratti,IN,81.19,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
21,Faanui,PF,80.33,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Ilebo,CD,77.22,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
39,Chuy,UY,76.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,Rikitea,PF,77.27,broken clouds,-23.1203,-134.9692,People ThankYou
44,Kavieng,PG,81.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
45,Pilar,BR,87.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
51,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
58,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
74,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Dubti,ET,87.58,few clouds,11.7361,41.0853,degu Shiferaw
80,Bras-Panon,RE,80.26,overcast clouds,-20.9967,55.6782,le meublé
82,Atuona,PF,76.77,clear sky,-9.8,-139.0333,Villa Enata
89,Kalianget,ID,80.04,light rain,-7.05,113.9333,Pesanggrahan Garam
90,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
92,Jacmel,HT,80.44,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
95,Arraial Do Cabo,BR,87.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Butaritari,KI,81.9,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
102,Pundaguitan,PH,80.73,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
104,Tual,ID,83.28,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
107,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
113,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
118,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
119,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
127,Port Augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
130,Isangel,VU,79.5,moderate rain,-19.55,169.2667,Tanna Lodge
133,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
134,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
144,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
153,Abonnema,NG,87.4,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
158,Bubaque,GW,78.82,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
172,Kudahuvadhoo,MV,81.5,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
173,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
174,Inongo,CD,82.62,broken clouds,-1.95,18.2667,Hotel Du Lac
175,Wewak,PG,78.33,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
183,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
186,Arlit,NE,76.8,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
187,Kiama,AU,75.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
189,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
193,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
195,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Kununurra,AU,78.78,moderate rain,-15.7667,128.7333,Hotel Kununurra
201,Paita,PE,81.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
203,Harper,LR,84.06,broken clouds,4.375,-7.7169,Screensaver
205,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Posada Villaven C.A.
209,Samarai,PG,79.41,moderate rain,-10.6167,150.6667,Nuli Sapi
212,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
214,Yulara,AU,82.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
215,Tambura,SS,79.54,clear sky,5.6,27.4667,Rikito Lodge
218,Bajil,YE,77.86,scattered clouds,15.0584,43.2851,فندق حضرموت
227,Dingle,PH,75.54,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
232,Idenao,CM,85.44,overcast clouds,4.2475,9.0047,Moland Beach Resort
234,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
237,Inhambane,MZ,82.38,few clouds,-23.865,35.3833,Oceano
238,Alugan,PH,78.64,broken clouds,12.2188,125.4808,JM Lodge
243,Hervey Bay,AU,75.02,few clouds,-25.2986,152.8535,Shelly Bay Resort
245,Buala,SB,80.42,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
247,Kieta,PG,79.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
248,Moerai,PF,79.25,clear sky,-22.4333,-151.3333,Le Manotel
249,Batalha,BR,89.49,light rain,-9.6778,-37.1247,Pousada Solar do Sertão
251,Karratha,AU,82.78,broken clouds,-20.7377,116.8463,ibis Styles Karratha
255,Santa Rosa,PH,81.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
256,Vanimo,PG,76.75,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
257,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
259,Bartica,GY,86.32,clear sky,6.4,-58.6167,Sloth Island Nature Resort
263,Salta,AR,76.57,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
266,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,Hotel Fórum
268,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
270,Mackay,AU,80.58,scattered clouds,-21.15,149.2,International Lodge Motel
271,Itarema,BR,83.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
273,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
282,Rocha,UY,79.7,clear sky,-34.4833,-54.3333,Hotel Arrarte
283,Sorong,ID,81.34,moderate rain,-0.8833,131.25,Waigo Splash Hotel
292,Mazagao,BR,82.45,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
295,Kattivakkam,IN,80.08,scattered clouds,13.2167,80.3167,Euronova Freezer
302,Nhulunbuy,AU,79.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
310,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
312,Emerald,AU,75.34,few clouds,-23.5333,148.1667,The Irish Village
313,Antalaha,MG,77.52,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
319,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
320,Jaru,BR,78.49,overcast clouds,-10.4389,-62.4664,Hotel Paraná
321,Varca,IN,80.6,clear sky,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
326,Lorengau,PG,80.35,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
333,Atar,MR,86.52,overcast clouds,20.5169,-13.0499,Oumou Elghoura
