City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Trairi,BR,2022-01-29 15:16:42,-3.2778,-39.2689,83.8,62,87,6.62
1,Manuk Mangkaw,PH,2022-01-29 15:16:42,4.8,119.85,81.68,71,26,3.78
2,Bryan,US,2022-01-29 15:16:43,30.6744,-96.37,45.88,66,0,3.44
3,Sabang,ID,2022-01-29 15:16:43,5.8933,95.3214,82.69,72,9,10.04
4,Olafsvik,IS,2022-01-29 15:16:44,64.8945,-23.7142,37.83,71,98,24.76
5,Celestun,MX,2022-01-29 15:16:44,20.8667,-90.4,69.57,62,100,19.75
6,Port Lincoln,AU,2022-01-29 15:16:45,-34.7333,135.8667,64.83,84,20,15.77
7,Hamilton,US,2022-01-29 15:15:42,39.1834,-84.5333,16.75,82,20,1.01
8,Sault Sainte Marie,CA,2022-01-29 15:11:49,46.5168,-84.3333,3.02,85,100,3.44
9,Nikolskoye,RU,2022-01-29 15:16:45,59.7035,30.7861,26.71,94,100,7.99
10,Wagar,SD,2022-01-29 15:16:46,16.1525,36.2032,82.24,31,33,15.64
11,Mende,FR,2022-01-29 15:16:46,44.6667,3.5,38.34,69,7,7.05
12,East London,ZA,2022-01-29 15:14:44,-33.0153,27.9116,74.34,68,40,16.11
13,Sitka,US,2022-01-29 15:16:47,57.0531,-135.33,42.69,75,100,18.41
14,Port Alfred,ZA,2022-01-29 15:16:47,-33.5906,26.891,72.84,64,21,14.54
15,Tuktoyaktuk,CA,2022-01-29 15:16:48,69.4541,-133.0374,-9.4,77,90,17.27
16,Port Macquarie,AU,2022-01-29 15:16:48,-31.4333,152.9167,67.89,85,66,5.97
17,Knokke-Heist,BE,2022-01-29 15:16:49,51.3333,3.3333,55.06,85,69,10.0
18,Cochrane,CA,2022-01-29 15:16:49,51.1834,-114.4687,30.47,58,100,9.22
19,Rikitea,PF,2022-01-29 15:16:50,-23.1203,-134.9692,77.07,76,85,11.95
20,San Ramon,US,2022-01-29 15:16:50,37.7799,-121.978,50.77,78,0,0.0
21,Hermanus,ZA,2022-01-29 15:16:50,-34.4187,19.2345,80.8,50,0,23.53
22,Cape Town,ZA,2022-01-29 15:14:28,-33.9258,18.4232,75.34,60,0,8.01
23,Busselton,AU,2022-01-29 15:16:51,-33.65,115.3333,72.09,86,0,16.06
24,San Patricio,US,2022-01-29 15:16:51,28.017,-97.5169,52.83,43,28,2.46
25,Dikson,RU,2022-01-29 15:16:52,73.5069,80.5464,0.61,94,99,20.13
26,Cooma,AU,2022-01-29 15:16:52,-36.2333,149.1333,64.17,100,100,3.44
27,Ballina,AU,2022-01-29 15:16:52,-28.8667,153.5667,71.78,78,50,6.93
28,Tautira,PF,2022-01-29 15:16:53,-17.7333,-149.15,77.02,76,51,13.51
29,Half Moon Bay,US,2022-01-29 15:13:52,37.4636,-122.4286,53.49,84,0,4.61
30,Ponta Do Sol,PT,2022-01-29 15:16:53,32.6667,-17.1,71.71,54,16,5.91
31,Bredasdorp,ZA,2022-01-29 15:16:54,-34.5322,20.0403,80.28,57,0,16.11
32,San Lawrenz,MT,2022-01-29 15:16:54,36.0553,14.204,54.81,52,40,8.01
33,La Asuncion,VE,2022-01-29 15:16:55,11.0333,-63.8628,80.33,69,27,11.5
34,Georgetown,MY,2022-01-29 15:16:55,5.4112,100.3354,84.15,78,20,6.91
35,Barrow,US,2022-01-29 15:14:37,71.2906,-156.7887,-9.38,70,40,11.5
36,Sinjai,ID,2022-01-29 15:16:56,-5.1241,120.253,78.13,82,100,3.98
37,Albany,US,2022-01-29 15:16:22,42.6001,-73.9662,12.36,81,100,3.0
38,Narsaq,GL,2022-01-29 15:16:56,60.9167,-46.05,21.42,95,100,8.95
39,Vaini,TO,2022-01-29 15:16:57,-21.2,-175.2,80.96,81,93,16.6
40,Cherskiy,RU,2022-01-29 15:16:57,68.75,161.3,-25.17,100,35,3.6
41,Kathu,TH,2022-01-29 15:16:57,7.9178,98.3332,87.69,80,3,12.97
42,Saint George,US,2022-01-29 15:16:53,37.1041,-113.5841,48.67,46,0,0.0
43,Saskylakh,RU,2022-01-29 15:16:58,71.9167,114.0833,-18.13,97,87,4.07
44,Jamestown,US,2022-01-29 15:15:36,42.097,-79.2353,11.34,44,20,10.36
45,Honiara,SB,2022-01-29 15:16:59,-9.4333,159.95,78.01,89,88,1.52
46,Carnarvon,AU,2022-01-29 15:16:59,-24.8667,113.6333,77.07,88,0,8.05
47,Provideniya,RU,2022-01-29 15:16:59,64.3833,-173.3,0.54,91,12,3.94
48,Girne,CY,2022-01-29 15:18:00,35.3417,33.3167,54.99,72,97,13.51
49,Provost,CA,2022-01-29 15:18:00,52.3501,-110.2683,30.65,93,100,3.11
50,Arraial Do Cabo,BR,2022-01-29 15:18:01,-22.9661,-42.0278,89.56,66,40,9.22
51,Dhidhdhoo,MV,2022-01-29 15:18:02,6.8833,73.1,81.84,75,53,17.45
52,Galeana,MX,2022-01-29 15:18:02,24.8333,-100.0667,42.31,92,100,2.06
53,Lebu,CL,2022-01-29 15:18:02,-37.6167,-73.65,64.4,76,26,7.07
54,Mahebourg,MU,2022-01-29 15:18:03,-20.4081,57.7,82.69,78,40,9.22
55,Ayagoz,KZ,2022-01-29 15:18:04,47.9714,80.4392,-0.27,86,100,2.06
56,Tynda,RU,2022-01-29 15:18:04,55.1667,124.7167,-12.59,92,57,5.01
57,Kruisfontein,ZA,2022-01-29 15:18:05,-34.0033,24.7314,77.88,54,0,15.43
58,Nelson Bay,AU,2022-01-29 15:18:05,-32.7167,152.15,74.1,83,100,1.99
59,Qesarya,IL,2022-01-29 15:18:06,32.5189,34.9046,57.51,78,51,8.25
60,Castro,BR,2022-01-29 15:18:06,-24.7911,-50.0119,60.44,99,100,4.97
61,Tuatapere,NZ,2022-01-29 15:18:06,-46.1333,167.6833,62.82,78,100,5.37
62,Ecoporanga,BR,2022-01-29 15:18:07,-18.3733,-40.8306,87.37,53,57,5.97
63,Taoudenni,ML,2022-01-29 15:18:07,22.6783,-3.9836,80.53,10,100,15.17
64,Kodiak,US,2022-01-29 15:17:59,57.79,-152.4072,27.91,69,100,21.85
65,Batouri,CM,2022-01-29 15:18:08,4.4333,14.3667,96.53,12,100,6.08
66,Thompson,CA,2022-01-29 15:18:08,55.7435,-97.8558,-11.04,77,20,2.3
67,Ushuaia,AR,2022-01-29 15:18:09,-54.8,-68.3,58.66,67,40,3.44
68,Kysyl-Syr,RU,2022-01-29 15:18:09,63.8986,122.7617,-14.94,100,100,3.94
69,Punta Arenas,CL,2022-01-29 15:13:44,-53.15,-70.9167,59.02,62,75,19.57
